"","Set","Species","Type","Period_adaptation","Relative_heading_degrees"
"1",2017,"pumila","1_bar","day_light","30"
"2",2017,"pumila","1_bar","day_light","270"
"3",2017,"pumila","1_bar","day_light","315"
"4",2017,"pumila","1_bar","day_light","215"
"5",2017,"pumila","1_bar","day_light","90"
"6",2017,"pumila","1_bar","day_light","5"
"7",2017,"pumila","1_bar","day_light","200"
"8",2017,"pumila","1_bar","day_light","225"
"9",2017,"pumila","1_bar","day_light","355"
"10",2017,"pumila","1_bar","day_light","DNF"
"11",2017,"pumila","1_bar","day_light","105"
"12",2017,"pumila","1_bar","day_light","355"
"13",2017,"pumila","1_bar","day_light","210"
"14",2017,"pumila","1_bar","day_light","100"
"15",2017,"pumila","1_bar","day_light","75"
"16",2017,"pumila","1_bar","day_light","165"
"17",2017,"pumila","1_bar","day_light","210"
"18",2017,"pumila","1_bar","day_light","215"
"19",2017,"pumila","1_bar","day_light","270"
"20",2017,"pumila","1_bar","day_light","220"
"21",2017,"pumila","1_bar","day_light","100"
"22",2017,"pumila","1_bar","day_light","210"
"23",2017,"pumila","1_bar","day_light","105"
"24",2017,"pumila","1_bar","day_light","80"
"25",2017,"pumila","1_bar","day_light","120"
"26",2017,"pumila","1_bar","day_light","350"
"27",2017,"pumila","1_bar","day_light","150"
"28",2017,"pumila","1_bar","day_light","280"
"29",2017,"pumila","1_bar","day_light","55"
"30",2017,"pumila","1_bar","day_light","0"
"31",2017,"pumila","1_bar","day_light","225"
"32",2017,"pumila","1_bar","day_light","225"
"33",2017,"pumila","1_bar","day_light","305"
"34",2017,"pumila","1_bar","day_light","260"
"35",2017,"pumila","1_bar","day_light","90"
"36",2017,"pumila","1_bar","day_light","190"
"37",2017,"pumila","1_bar","day_light","335"
"38",2017,"pumila","1_bar","day_light","160"
"39",2017,"pumila","1_bar","day_light","355"
"40",2017,"pumila","1_bar","day_light","30"
"41",2017,"pumila","1_bar","day_light","350"
"42",2017,"wendtii","1_bar","day_light","0"
"43",2017,"wendtii","1_bar","day_light","190"
"44",2017,"wendtii","1_bar","day_light","355"
"45",2017,"wendtii","1_bar","day_light","320"
"46",2017,"wendtii","1_bar","day_light","70"
"47",2017,"wendtii","1_bar","day_light","170"
"48",2017,"wendtii","1_bar","day_light","15"
"49",2017,"wendtii","1_bar","day_light","235"
"50",2017,"wendtii","1_bar","day_light","350"
"51",2017,"wendtii","1_bar","day_light","190"
"52",2017,"wendtii","1_bar","day_light","10"
"53",2017,"wendtii","1_bar","day_light","15"
"54",2017,"wendtii","1_bar","day_light","330"
"55",2017,"wendtii","1_bar","day_light","35"
"56",2017,"wendtii","1_bar","day_light","30"
"57",2017,"wendtii","1_bar","day_light","270"
"58",2017,"wendtii","1_bar","day_light","315"
"59",2017,"wendtii","1_bar","day_light","135"
"60",2017,"wendtii","1_bar","day_light","0"
"61",2017,"wendtii","1_bar","day_light","10"
"62",2017,"wendtii","1_bar","day_light","0"
"63",2017,"wendtii","1_bar","day_light","0"
"64",2017,"wendtii","1_bar","day_light","0"
"65",2017,"wendtii","1_bar","day_light","0"
"66",2017,"wendtii","1_bar","day_light","195"
"67",2017,"wendtii","1_bar","day_light","210"
"68",2017,"wendtii","1_bar","day_light","165"
"69",2017,"wendtii","1_bar","day_light","15"
"70",2017,"wendtii","1_bar","day_light","355"
"71",2017,"wendtii","1_bar","day_light","90"
"72",2017,"wendtii","1_bar","day_light","5"
"73",2017,"wendtii","1_bar","day_light","125"
"74",2017,"wendtii","1_bar","day_light","10"
"75",2017,"wendtii","1_bar","day_light","180"
"76",2017,"wendtii","1_bar","day_light","25"
"77",2017,"wendtii","1_bar","day_light","10"
"78",2017,"wendtii","1_bar","day_light","0"
"79",2017,"wendtii","1_bar","day_light","350"
"80",2017,"wendtii","1_bar","day_light","355"
"81",2017,"wendtii","1_bar","day_light","85"
"82",2017,"pumila","3_bars","day_light","355"
"83",2017,"pumila","3_bars","day_light","150"
"84",2017,"pumila","3_bars","day_light","180"
"85",2017,"pumila","3_bars","day_light","295"
"86",2017,"pumila","3_bars","day_light","315"
"87",2017,"pumila","3_bars","day_light","180"
"88",2017,"pumila","3_bars","day_light","210"
"89",2017,"pumila","3_bars","day_light","250"
"90",2017,"pumila","3_bars","day_light","255"
"91",2017,"pumila","3_bars","day_light","355"
"92",2017,"pumila","3_bars","day_light","90"
"93",2017,"pumila","3_bars","day_light","120"
"94",2017,"pumila","3_bars","day_light","175"
"95",2017,"pumila","3_bars","day_light","180"
"96",2017,"pumila","3_bars","day_light","5"
"97",2017,"pumila","3_bars","day_light","345"
"98",2017,"pumila","3_bars","day_light","345"
"99",2017,"pumila","3_bars","day_light","145"
"100",2017,"pumila","3_bars","day_light","130"
"101",2017,"pumila","3_bars","day_light","280"
"102",2017,"pumila","3_bars","day_light","80"
"103",2017,"pumila","3_bars","day_light","255"
"104",2017,"pumila","3_bars","day_light","25"
"105",2017,"pumila","3_bars","day_light","165"
